ID lon lat   lonIJ latIJ depthIJ   dist[km]
P0021 284.5649 -15.2000   284.5625 -15.2042 93.9   0.530
P0022 284.8080 -15.4000   284.8042 -15.4042 96.2   0.620
P0023 285.2416 -15.6000   285.2375 -15.6042 98.7   0.637
P0024 285.4912 -15.8000   285.4875 -15.8042 451.0   0.611
P0025 285.8396 -16.0000   285.8375 -16.0042 145.8   0.515
P0026 286.0799 -16.2000   286.0792 -16.2042 400.8   0.471
P0027 286.5576 -16.4000   286.5542 -16.4042 178.0   0.592
P0028 286.9955 -16.6000   286.9958 -16.6042 110.7   0.466
P0029 287.4579 -16.8000   287.4542 -16.8042 48.7   0.615
P0030 287.7933 -17.0000   287.7958 -17.0042 210.9   0.535
P0031 288.0206 -17.2000   288.0208 -17.2042 138.9   0.465
P0032 288.1876 -17.4332   288.1875 -17.4292 181.9   0.450
P0033 288.2539 -17.4077   288.2542 -17.4042 179.4   0.395
P0034 288.3300 -17.3559   288.3292 -17.3542 205.1   0.212
P0035 288.4439 -17.3703   288.4458 -17.3708 198.7   0.214
P0036 288.5085 -17.5082   288.5125 -17.5042 175.4   0.619
P0037 288.5357 -17.6402   288.5375 -17.6375 200.1   0.356
P0038 288.5505 -17.6792   288.5542 -17.6792 158.2   0.389
P0039 288.5958 -17.7459   288.5958 -17.7458 265.7   0.008
P0040 288.6709 -17.8144   288.6708 -17.8125 191.3   0.212
P0041 288.7375 -17.8418   288.7375 -17.8458 233.9   0.449
P0042 288.7774 -17.9200   288.7792 -17.9208 205.6   0.209
P0043 288.8344 -17.9482   288.8375 -17.9458 194.8   0.421
P0044 288.9050 -18.0200   288.9042 -18.0208 174.9   0.128
P0045 288.9881 -18.0953   288.9875 -18.0958 272.4   0.087
P0046 289.1473 -18.1861   289.1458 -18.1875 239.4   0.220
P0047 289.1858 -18.2390   289.1875 -18.2375 183.2   0.246
P0048 289.2408 -18.2876   289.2375 -18.2875 269.2   0.349
P0049 289.3620 -18.3594   289.3625 -18.3625 157.8   0.349
P0050 289.4577 -18.4253   289.4542 -18.4292 178.5   0.570
P0051 289.4895 -18.4943   289.4875 -18.4958 117.4   0.272
P0052 289.5431 -18.5407   289.5458 -18.5375 119.5   0.459
P0053 289.5786 -18.6362   289.5792 -18.6375 170.2   0.157
P0054 289.5788 -18.7376   289.5792 -18.7375 188.4   0.040
P0055 289.5729 -18.8179   289.5708 -18.8208 209.1   0.393
P0056 289.6122 -18.9216   289.6125 -18.9208 178.3   0.091
P0057 289.6039 -19.0236   289.6042 -19.0208 189.7   0.310
P0058 289.6187 -19.0487   289.6208 -19.0458 159.9   0.391
P0059 289.6410 -19.1376   289.6375 -19.1375 220.5   0.369
P0060 289.6891 -19.2014   289.6875 -19.2042 202.5   0.351
P0061 289.6761 -19.2462   289.6792 -19.2458 156.3   0.325
P0062 289.6486 -19.3296   289.6458 -19.3292 201.9   0.295
P0063 289.6475 -19.4284   289.6458 -19.4292 172.7   0.195
P0064 289.6616 -19.5220   289.6625 -19.5208 186.3   0.161
P0065 289.6875 -19.5875   289.6875 -19.5875 201.8   0.000
P0066 289.7484 -19.6047   289.7458 -19.6042 192.6   0.276
P0067 289.7595 -19.7037   289.7625 -19.7042 171.5   0.319
P0068 289.7528 -19.7652   289.7542 -19.7625 178.5   0.333
P0069 289.7764 -19.8870   289.7792 -19.8875 191.3   0.295
P0070 289.8116 -19.9554   289.8125 -19.9542 191.3   0.167
P0071 289.7833 -20.0167   289.7792 -20.0208 181.3   0.637
P0072 289.7714 -20.1022   289.7708 -20.1042 141.7   0.227
P0073 289.7576 -20.1792   289.7542 -20.1792 197.4   0.359
P0074 289.7567 -20.2545   289.7542 -20.2542 175.8   0.267
P0075 289.7676 -20.3160   289.7708 -20.3125 177.3   0.516
P0076 289.7279 -20.3879   289.7292 -20.3875 182.9   0.140
P0077 289.6928 -20.4622   289.6958 -20.4625 183.3   0.318
P0078 289.6667 -20.5500   289.6708 -20.5542 197.7   0.636
P0079 289.6518 -20.6154   289.6542 -20.6125 198.1   0.407
P0080 289.5387 -20.7026   289.5375 -20.7042 190.3   0.215
P0081 289.5612 -20.7804   289.5625 -20.7792 221.1   0.193
P0082 289.6334 -20.8210   289.6375 -20.8208 130.4   0.427
P0083 289.6420 -20.9127   289.6458 -20.9125 149.5   0.400
P0084 289.6164 -21.0252   289.6125 -21.0292 346.8   0.600
P0085 289.6386 -21.0794   289.6375 -21.0792 227.4   0.117
P0086 289.6282 -21.1637   289.6292 -21.1625 187.9   0.167
P0087 289.6949 -21.2472   289.6958 -21.2458 220.4   0.181
P0088 289.7278 -21.3733   289.7292 -21.3708 210.1   0.309
P0089 289.7548 -21.5056   289.7542 -21.5042 194.4   0.173
P0090 289.7690 -21.6451   289.7708 -21.6458 120.3   0.207
P0091 289.7522 -21.7031   289.7542 -21.7042 191.9   0.236
P0092 289.7608 -21.7368   289.7625 -21.7375 185.4   0.192
P0093 289.7763 -21.8239   289.7792 -21.8208 185.2   0.452
P0094 289.7703 -21.9134   289.7708 -21.9125 190.9   0.114
